id,transaction_id,utr_number,amount,payment_type,payment_date,updated_at,student_id,subscription_id
373,"",CZ66 3149 7503 8143 3171 6701,316.00,OnlineBanking,2022-04-12 00:00:00+05:30,2022-05-31 00:00:00+05:30,960,4
374,"",RS78 8499 3887 8303 8380 38,373.00,OnlineBanking,2022-12-28 00:00:00+05:30,2022-03-17 00:00:00+05:30,747,3
375,"",CZ79 6985 1324 4700 5322 0422,93.00,DebitCard,2022-11-21 00:00:00+05:30,2022-05-23 00:00:00+05:30,727,4
376,"",GE47 TY44 2748 3614 0919 99,877.00,OnlineBanking,2022-07-20 00:00:00+05:30,2022-08-04 00:00:00+05:30,491,4
377,"",BR55 2966 8704 0442 3257 1663 183Q B,755.00,OnlineBanking,2023-02-09 00:00:00+05:30,2022-08-24 00:00:00+05:30,238,3
378,"",SK69 7027 5749 5119 8048 8366,60.00,OnlineBanking,2022-06-21 00:00:00+05:30,2022-11-24 00:00:00+05:30,157,3
379,"",NL62 HDQS 5405 8396 88,510.00,OnlineBanking,2022-08-30 00:00:00+05:30,2022-03-16 00:00:00+05:30,7,2
380,"",KW42 JJGV PXJN SOLK WRLT Q3PJ CAUM ML,234.00,OnlineBanking,2022-03-11 00:00:00+05:30,2022-10-09 00:00:00+05:30,673,4
381,"",AT10 7964 1346 4554 5317,268.00,DebitCard,2022-10-09 00:00:00+05:30,2022-05-31 00:00:00+05:30,336,5
382,"",BR41 9515 7034 9873 6569 7128 225H C,848.00,DebitCard,2022-04-09 00:00:00+05:30,2023-02-20 00:00:00+05:30,685,3
383,"",CH63 0993 1CLJ WXFR XXSO B,917.00,OnlineBanking,2022-09-23 00:00:00+05:30,2023-01-26 00:00:00+05:30,130,4
384,"",LT90 4373 5898 9446 0347,781.00,OnlineBanking,2022-03-19 00:00:00+05:30,2022-12-21 00:00:00+05:30,607,4
385,"",PT11 8499 7008 7158 6752 1147 5,968.00,DebitCard,2023-02-23 00:00:00+05:30,2022-06-13 00:00:00+05:30,313,1
386,"",GI83 UEXY HP1M Z57V KKGQ I0L,90.00,DebitCard,2022-08-04 00:00:00+05:30,2022-04-04 00:00:00+05:30,447,4
387,"",GE24 ZN24 0809 6088 2065 15,2.00,DebitCard,2023-01-08 00:00:00+05:30,2022-12-06 00:00:00+05:30,559,2
388,"",BE46 0228 3922 9331,574.00,CreditCard,2022-06-20 00:00:00+05:30,2022-07-13 00:00:00+05:30,573,2
389,"",AL74 8870 0598 YXXT LL7K MJ0Q 0DYP,420.00,DebitCard,2022-12-29 00:00:00+05:30,2022-07-07 00:00:00+05:30,654,1
390,"",GE66 GL67 0792 8533 2677 65,600.00,DebitCard,2022-07-02 00:00:00+05:30,2022-05-17 00:00:00+05:30,544,5
391,"",BR07 4669 3194 3384 1985 8209 749G K,768.00,UPI,2023-02-16 00:00:00+05:30,2022-12-29 00:00:00+05:30,56,1
392,"",EE94 6743 0360 1257 5485,657.00,DebitCard,2023-03-03 00:00:00+05:30,2022-03-22 00:00:00+05:30,928,1
393,"",PK66 DEQI SUUG GX6Y RRIJ F4HG,313.00,OnlineBanking,2022-05-14 00:00:00+05:30,2022-07-19 00:00:00+05:30,939,2
394,"",FR19 5143 3840 43YI IOSC VP9N Z50,333.00,DebitCard,2023-02-13 00:00:00+05:30,2022-05-04 00:00:00+05:30,394,2
395,"",SA44 29GH MSYI IWQ6 NCNU LGF2,899.00,OnlineBanking,2022-07-06 00:00:00+05:30,2022-11-16 00:00:00+05:30,386,3
396,"",GR30 5242 392Q LEH3 AVVJ Z3QW JNF,170.00,DebitCard,2022-04-17 00:00:00+05:30,2022-09-06 00:00:00+05:30,992,5
397,"",GR10 4974 328R 41NG DLRE PXRZ VHP,332.00,DebitCard,2022-04-28 00:00:00+05:30,2022-06-01 00:00:00+05:30,368,2
398,"",FR14 9828 9658 238G VCKS RJRN V06,790.00,DebitCard,2023-02-01 00:00:00+05:30,2022-10-26 00:00:00+05:30,890,4
399,"",TR04 2051 6JUS JXUF VRCR EZ7T QH,198.00,DebitCard,2023-01-23 00:00:00+05:30,2022-09-14 00:00:00+05:30,714,5
400,"",ME81 6245 5688 2607 8601 40,636.00,OnlineBanking,2022-08-09 00:00:00+05:30,2023-03-06 00:00:00+05:30,561,2
401,"",PS63 MVZY MKWQ EYWD ROO6 J0L5 R7B3 K,396.00,CreditCard,2022-05-12 00:00:00+05:30,2023-01-04 00:00:00+05:30,807,4
402,"",FR36 8719 8016 34BI OB2G LVDD S88,991.00,OnlineBanking,2023-03-07 00:00:00+05:30,2022-08-30 00:00:00+05:30,906,3
403,"",CY38 6185 7035 FDW3 W4ZM KZFB V8X6,22.00,OnlineBanking,2022-04-06 00:00:00+05:30,2023-03-03 00:00:00+05:30,245,3
404,"",TR79 8056 0TQV VTVM REXH DNMJ NM,212.00,OnlineBanking,2023-03-08 00:00:00+05:30,2022-10-14 00:00:00+05:30,468,3
405,"",FR26 1842 3638 67II ASE3 O5QI E03,413.00,OnlineBanking,2022-10-05 00:00:00+05:30,2022-06-14 00:00:00+05:30,884,3
406,"",IE05 LEFC 0037 5462 8526 85,299.00,UPI,2022-06-19 00:00:00+05:30,2022-08-22 00:00:00+05:30,886,1
407,"",TN69 9543 5021 4126 0306 5969,64.00,UPI,2022-06-04 00:00:00+05:30,2022-05-29 00:00:00+05:30,184,1
408,"",FI74 3157 5695 9473 41,582.00,OnlineBanking,2022-03-13 00:00:00+05:30,2022-04-11 00:00:00+05:30,101,1
409,"",SM79 L539 9527 194L HIB1 SEJF ONL,457.00,UPI,2022-04-27 00:00:00+05:30,2022-05-11 00:00:00+05:30,267,1
410,"",BH82 SSBC D6L9 9JAL GIBF EP,560.00,DebitCard,2022-09-26 00:00:00+05:30,2022-07-21 00:00:00+05:30,85,3
411,"",GE04 EZ47 0255 1311 3243 97,978.00,OnlineBanking,2022-11-19 00:00:00+05:30,2022-07-07 00:00:00+05:30,872,1
412,"",KZ21 587G B58V ALTS BCGB,108.00,OnlineBanking,2022-03-11 00:00:00+05:30,2022-11-05 00:00:00+05:30,186,5
413,"",NO07 0751 7728 155,565.00,OnlineBanking,2022-09-24 00:00:00+05:30,2022-06-30 00:00:00+05:30,775,1
414,"",PL21 1409 9304 8046 0186 1556 5962,545.00,CreditCard,2023-01-31 00:00:00+05:30,2022-10-26 00:00:00+05:30,97,1
415,"",AT97 2429 6185 1318 2638,927.00,OnlineBanking,2022-10-16 00:00:00+05:30,2022-06-28 00:00:00+05:30,175,3
416,"",TR17 7431 7ZBB NVLI OC2D B1T3 XR,568.00,CreditCard,2022-08-19 00:00:00+05:30,2022-04-30 00:00:00+05:30,197,1
417,"",PS08 XEQK NMF5 FFTP TCKI PZPT SS2X B,759.00,DebitCard,2023-02-24 00:00:00+05:30,2022-12-29 00:00:00+05:30,853,4
418,"",LB96 9454 MESH WYWN JOTN 5DMN LKUY,522.00,OnlineBanking,2022-09-27 00:00:00+05:30,2022-04-16 00:00:00+05:30,144,1
419,"",PT50 4111 1155 7675 7752 1320 4,288.00,OnlineBanking,2022-05-03 00:00:00+05:30,2022-06-22 00:00:00+05:30,441,5
420,"",GI67 FTOJ GGRZ WNDB T4OE CAB,183.00,OnlineBanking,2022-11-17 00:00:00+05:30,2022-07-30 00:00:00+05:30,656,3
421,"",KW19 GBOJ BWAC SKFA DDPO O5NA 4SXJ NM,299.00,DebitCard,2022-04-10 00:00:00+05:30,2022-08-18 00:00:00+05:30,757,5
422,"",GL78 6045 7943 6543 33,620.00,OnlineBanking,2022-11-23 00:00:00+05:30,2023-03-04 00:00:00+05:30,641,5
423,"",DE78 5325 3238 0166 0444 04,88.00,OnlineBanking,2022-10-21 00:00:00+05:30,2022-12-19 00:00:00+05:30,692,3
424,"",KZ92 7581 M8F0 ST94 9XV9,210.00,OnlineBanking,2023-02-20 00:00:00+05:30,2022-09-19 00:00:00+05:30,115,1
425,"",FI95 9081 8968 5490 13,412.00,UPI,2022-07-28 00:00:00+05:30,2022-03-09 00:00:00+05:30,916,3
426,"",MU24 ZUQT 7238 9270 9179 4745 129M MS,446.00,OnlineBanking,2022-03-27 00:00:00+05:30,2022-09-28 00:00:00+05:30,305,5
427,"",AD45 7203 0140 WOSU CZIH NAXQ,180.00,DebitCard,2022-06-20 00:00:00+05:30,2022-05-20 00:00:00+05:30,61,2
428,"",IS29 8148 3846 1817 0072 4170 83,349.00,CreditCard,2022-10-18 00:00:00+05:30,2022-12-05 00:00:00+05:30,220,1
429,"",BE43 6417 8955 2487,889.00,UPI,2022-06-07 00:00:00+05:30,2022-09-21 00:00:00+05:30,176,4
430,"",RS30 4223 9552 2273 9163 20,367.00,CreditCard,2022-11-19 00:00:00+05:30,2022-12-14 00:00:00+05:30,137,1
431,"",TR32 6899 1FAI 6TA9 AUIM Q3WK RX,690.00,DebitCard,2022-06-29 00:00:00+05:30,2023-03-07 00:00:00+05:30,275,4
432,"",MR27 1357 9846 1457 5637 1526 307,818.00,OnlineBanking,2023-02-13 00:00:00+05:30,2022-03-27 00:00:00+05:30,462,2
433,"",FR79 4073 9426 82ZC ZPBB LJEX V26,112.00,DebitCard,2022-08-31 00:00:00+05:30,2022-10-20 00:00:00+05:30,996,4
434,"",FR43 9814 1527 888W IVAQ IZFT 167,38.00,DebitCard,2022-12-02 00:00:00+05:30,2023-01-29 00:00:00+05:30,380,3
435,"",NO78 7936 8997 821,726.00,OnlineBanking,2022-06-03 00:00:00+05:30,2022-10-12 00:00:00+05:30,517,2
436,"",MC77 9391 3955 76I1 26JZ XI2R X23,194.00,DebitCard,2023-03-02 00:00:00+05:30,2022-11-06 00:00:00+05:30,831,4
437,"",AZ25 DDIX MXPR RYMU F02E VASK OVAR,266.00,DebitCard,2023-02-16 00:00:00+05:30,2023-01-12 00:00:00+05:30,240,5
438,"",BR02 4364 9394 1349 7651 7665 414R 3,306.00,OnlineBanking,2022-05-13 00:00:00+05:30,2023-01-09 00:00:00+05:30,833,1
439,"",FR21 7542 0847 30A9 YRPM 27C1 Y89,803.00,OnlineBanking,2022-04-17 00:00:00+05:30,2022-11-04 00:00:00+05:30,56,1
440,"",IS35 2997 6035 7528 6941 8080 98,898.00,UPI,2023-01-30 00:00:00+05:30,2023-03-07 00:00:00+05:30,991,3
441,"",KZ08 046I QDBK UTKP 8RLA,163.00,CreditCard,2023-02-19 00:00:00+05:30,2022-05-16 00:00:00+05:30,666,4
442,"",FR79 5856 0677 05DV VEN1 PO4T T31,690.00,OnlineBanking,2022-10-10 00:00:00+05:30,2022-05-16 00:00:00+05:30,530,3
443,"",PK26 CRWF KBLR X6Z7 IOBX XYCZ,635.00,OnlineBanking,2023-02-09 00:00:00+05:30,2022-08-30 00:00:00+05:30,559,2
444,"",CH53 8156 2UKM YBY7 PR0S X,218.00,UPI,2022-08-07 00:00:00+05:30,2022-05-21 00:00:00+05:30,852,4
445,"",FR19 1794 1925 76XM I1OC GHEI Q61,658.00,CreditCard,2022-09-02 00:00:00+05:30,2022-09-15 00:00:00+05:30,870,3
446,"",SI79 6012 9540 7686 785,132.00,OnlineBanking,2023-02-24 00:00:00+05:30,2023-02-05 00:00:00+05:30,558,1
447,"",VG81 GQQO 7434 7193 6746 8360,528.00,DebitCard,2022-08-31 00:00:00+05:30,2023-01-20 00:00:00+05:30,521,3
448,"",FI10 3345 4577 2614 64,456.00,OnlineBanking,2022-12-09 00:00:00+05:30,2022-03-10 00:00:00+05:30,69,4
449,"",RS72 6463 4799 9059 1138 78,341.00,DebitCard,2022-12-02 00:00:00+05:30,2022-08-30 00:00:00+05:30,731,5
450,"",GL81 2730 9682 6506 45,916.00,OnlineBanking,2023-03-03 00:00:00+05:30,2022-10-10 00:00:00+05:30,943,2
451,"",SA25 08CS CETZ 85HN 4NGM BHSW,130.00,OnlineBanking,2022-05-14 00:00:00+05:30,2022-09-11 00:00:00+05:30,59,5
452,"",TN44 0165 2057 3476 2700 4642,269.00,OnlineBanking,2023-02-20 00:00:00+05:30,2022-10-29 00:00:00+05:30,401,2
453,"",RS90 2552 8061 7598 3363 43,409.00,OnlineBanking,2022-10-04 00:00:00+05:30,2022-03-22 00:00:00+05:30,826,2
454,"",CR72 9192 3686 8286 9809 3,301.00,OnlineBanking,2022-08-09 00:00:00+05:30,2022-11-06 00:00:00+05:30,505,1
455,"",SE75 9378 6816 1419 7429 4161,90.00,OnlineBanking,2022-10-18 00:00:00+05:30,2022-06-27 00:00:00+05:30,288,2
456,"",RS34 0168 9229 0661 7062 90,198.00,DebitCard,2022-09-07 00:00:00+05:30,2022-12-01 00:00:00+05:30,67,2
457,"",FR51 1014 4186 815O KFKX XI7A L35,519.00,OnlineBanking,2022-11-10 00:00:00+05:30,2022-06-15 00:00:00+05:30,631,1
458,"",FR74 8151 9096 09V5 BSXD CZVD I05,475.00,DebitCard,2022-09-30 00:00:00+05:30,2022-08-30 00:00:00+05:30,164,5
459,"",ME35 0071 1385 4931 4208 03,456.00,OnlineBanking,2022-06-29 00:00:00+05:30,2022-08-29 00:00:00+05:30,112,2
460,"",IT34 O862 1199 556I QNST PGMH L4H,321.00,UPI,2022-05-19 00:00:00+05:30,2022-04-18 00:00:00+05:30,848,3
461,"",BR93 2778 8716 7685 0257 8320 618C P,774.00,DebitCard,2022-05-14 00:00:00+05:30,2022-05-19 00:00:00+05:30,725,3
462,"",ME85 4456 9801 5337 2839 75,262.00,OnlineBanking,2022-05-26 00:00:00+05:30,2022-11-10 00:00:00+05:30,567,4
463,"",ME29 4985 4560 1477 9244 95,270.00,OnlineBanking,2022-08-17 00:00:00+05:30,2022-09-06 00:00:00+05:30,827,4
464,"",FR26 7017 8512 00PA 2TOU WNA4 Q02,357.00,CreditCard,2022-04-11 00:00:00+05:30,2022-09-16 00:00:00+05:30,584,4
465,"",ME55 4375 6529 8555 0888 07,104.00,DebitCard,2022-09-04 00:00:00+05:30,2022-10-20 00:00:00+05:30,831,2
466,"",AD81 4199 0005 OPXT EOJA EAX8,518.00,OnlineBanking,2023-03-06 00:00:00+05:30,2022-05-17 00:00:00+05:30,66,4
467,"",SI05 9377 8605 9575 458,881.00,DebitCard,2022-05-20 00:00:00+05:30,2023-02-24 00:00:00+05:30,752,2
468,"",FR45 0260 8639 27PH 0YHB QBHB E65,321.00,OnlineBanking,2022-05-22 00:00:00+05:30,2022-12-19 00:00:00+05:30,940,4
469,"",MU29 ZJZO 4397 1283 8398 6295 530N GV,443.00,DebitCard,2022-11-06 00:00:00+05:30,2022-12-31 00:00:00+05:30,87,4
470,"",BG48 MUVY 7296 07RV 8UER VP,811.00,CreditCard,2022-05-31 00:00:00+05:30,2022-12-27 00:00:00+05:30,945,4
471,"",ES74 9748 7399 4741 9889 4207,518.00,OnlineBanking,2022-08-09 00:00:00+05:30,2023-03-01 00:00:00+05:30,732,4
472,"",AE04 0828 7062 1873 5833 706,529.00,DebitCard,2022-03-22 00:00:00+05:30,2022-04-23 00:00:00+05:30,427,5
473,"",LV10 CGAW X1E6 K9LV UL2D M,856.00,OnlineBanking,2022-09-18 00:00:00+05:30,2023-02-27 00:00:00+05:30,831,4
474,"",SI44 6165 8134 6472 754,192.00,CreditCard,2022-08-21 00:00:00+05:30,2022-04-30 00:00:00+05:30,29,2
475,"",PL77 1792 0419 7765 3375 3502 1088,583.00,OnlineBanking,2022-03-17 00:00:00+05:30,2023-02-04 00:00:00+05:30,272,2
476,"",DK28 1649 3175 1700 78,894.00,CreditCard,2022-12-18 00:00:00+05:30,2022-03-17 00:00:00+05:30,179,1
477,"",FR12 5812 0380 14O2 TXJF U3AD M62,856.00,OnlineBanking,2022-04-07 00:00:00+05:30,2022-07-16 00:00:00+05:30,179,1
478,"",SE45 3491 1643 6369 2152 1154,152.00,UPI,2022-12-31 00:00:00+05:30,2022-06-02 00:00:00+05:30,838,2
479,"",FO31 9123 5481 6494 01,334.00,CreditCard,2023-02-12 00:00:00+05:30,2022-11-07 00:00:00+05:30,169,1
480,"",AZ30 ONKK DNTB MTGH B8NR LN7O AGE7,201.00,DebitCard,2023-01-16 00:00:00+05:30,2022-11-03 00:00:00+05:30,402,3
481,"",HU06 6447 6723 8632 2692 7342 0803,178.00,CreditCard,2023-02-04 00:00:00+05:30,2022-04-26 00:00:00+05:30,746,4
482,"",MC50 2087 7525 94KB LRYH IT1A I70,62.00,CreditCard,2022-10-20 00:00:00+05:30,2022-04-18 00:00:00+05:30,734,4
483,"",CH33 2011 0AP6 BZEB Z143 Z,369.00,CreditCard,2022-08-30 00:00:00+05:30,2022-05-13 00:00:00+05:30,97,5
484,"",FR58 0122 4806 291Z LM7S HTA7 D73,307.00,UPI,2022-06-19 00:00:00+05:30,2022-04-17 00:00:00+05:30,906,5
485,"",FR34 9410 4128 2795 QVJR WBAQ 536,385.00,OnlineBanking,2022-12-20 00:00:00+05:30,2023-03-07 00:00:00+05:30,321,3
486,"",AT24 2752 4379 5872 0952,768.00,DebitCard,2022-10-06 00:00:00+05:30,2022-05-12 00:00:00+05:30,295,5
487,"",MD59 R42S 4ZDO RDUP IZIN GIVB,131.00,DebitCard,2022-05-22 00:00:00+05:30,2022-09-30 00:00:00+05:30,647,2
488,"",IL76 6106 2698 3655 3314 574,930.00,OnlineBanking,2023-02-27 00:00:00+05:30,2022-06-21 00:00:00+05:30,983,4
489,"",DK83 9046 8656 6949 96,814.00,DebitCard,2022-10-31 00:00:00+05:30,2022-11-28 00:00:00+05:30,801,1
490,"",SI95 1900 0272 2463 094,493.00,OnlineBanking,2022-06-14 00:00:00+05:30,2022-05-16 00:00:00+05:30,179,3
491,"",MR52 7874 4503 6674 6977 0453 303,13.00,OnlineBanking,2022-11-28 00:00:00+05:30,2022-03-23 00:00:00+05:30,153,3
492,"",TR92 8378 1PDF UK4R AOTV KXYA BK,680.00,OnlineBanking,2022-10-16 00:00:00+05:30,2022-03-11 00:00:00+05:30,971,1
493,"",FI56 8339 7780 2618 68,35.00,OnlineBanking,2023-01-13 00:00:00+05:30,2022-06-25 00:00:00+05:30,103,5
494,"",GE05 IE02 0582 4141 4770 01,787.00,OnlineBanking,2022-10-05 00:00:00+05:30,2023-03-02 00:00:00+05:30,915,1
495,"",GI27 VXWM 12U9 TSHY 2DMW ZYJ,218.00,CreditCard,2023-02-17 00:00:00+05:30,2022-12-17 00:00:00+05:30,53,1
496,"",EE83 8070 0891 6963 4145,924.00,OnlineBanking,2022-06-10 00:00:00+05:30,2022-10-19 00:00:00+05:30,292,1
497,"",CY91 9202 1034 VNZ8 L9BO YVT2 HD7G,733.00,OnlineBanking,2022-10-30 00:00:00+05:30,2022-05-24 00:00:00+05:30,40,1
498,"",FR33 1867 1031 22WA RRO2 CX9U X99,583.00,CreditCard,2023-01-21 00:00:00+05:30,2023-02-04 00:00:00+05:30,158,1
499,"",VG42 KWXI 3735 7353 2445 0043,359.00,DebitCard,2022-09-21 00:00:00+05:30,2022-06-12 00:00:00+05:30,384,2
500,"",LV43 JMYY XIG0 C8ON W24U 5,229.00,CreditCard,2022-03-20 00:00:00+05:30,2022-08-31 00:00:00+05:30,214,2
501,"",SK78 6382 4720 5112 1880 9835,865.00,DebitCard,2022-08-19 00:00:00+05:30,2022-11-15 00:00:00+05:30,779,1
502,"",GE67 ZQ37 1487 4851 8749 25,665.00,OnlineBanking,2022-11-23 00:00:00+05:30,2023-01-24 00:00:00+05:30,248,1
503,"",FR25 5573 6906 71OK OH75 ZDZ2 H23,416.00,CreditCard,2022-06-06 00:00:00+05:30,2023-02-10 00:00:00+05:30,531,3
504,"",CZ92 0210 2277 6134 1827 2709,679.00,OnlineBanking,2022-12-04 00:00:00+05:30,2022-10-16 00:00:00+05:30,818,5
505,"",RS63 5864 7613 0909 2534 62,537.00,OnlineBanking,2022-09-07 00:00:00+05:30,2022-06-21 00:00:00+05:30,738,3
506,"",BR90 6017 8116 5954 9504 4666 659N K,592.00,DebitCard,2022-09-04 00:00:00+05:30,2022-06-28 00:00:00+05:30,310,1
507,"",NO08 8903 3468 369,470.00,OnlineBanking,2023-02-15 00:00:00+05:30,2022-09-28 00:00:00+05:30,374,5
508,"",GL43 7006 4262 7541 12,828.00,CreditCard,2023-01-25 00:00:00+05:30,2022-04-07 00:00:00+05:30,997,4
509,"",MR48 7904 8477 0513 9821 4217 307,141.00,DebitCard,2022-10-16 00:00:00+05:30,2022-07-06 00:00:00+05:30,789,4
510,"",SM93 J338 7799 632S AXOG TLZZ OOV,842.00,OnlineBanking,2022-08-23 00:00:00+05:30,2022-07-16 00:00:00+05:30,349,5
511,"",SI35 4062 2692 7625 590,964.00,CreditCard,2022-09-21 00:00:00+05:30,2023-01-23 00:00:00+05:30,813,2
512,"",AL26 1678 1222 QHAH POFX UGS0 ARS6,62.00,UPI,2023-02-27 00:00:00+05:30,2023-01-03 00:00:00+05:30,318,1
513,"",FR85 8747 8884 80FA KNVM A61U J71,888.00,OnlineBanking,2022-10-10 00:00:00+05:30,2022-11-11 00:00:00+05:30,449,4
514,"",KZ53 3239 F8GV SPBX CV5C,588.00,UPI,2022-08-29 00:00:00+05:30,2022-03-30 00:00:00+05:30,506,5
515,"",LB86 6148 VNPI DTQP BBSW MMDG 3ZVR,943.00,OnlineBanking,2022-09-18 00:00:00+05:30,2022-09-01 00:00:00+05:30,865,4
516,"",SA18 25E3 MFNG YUTJ 2F7H CMSA,433.00,OnlineBanking,2022-09-21 00:00:00+05:30,2022-04-25 00:00:00+05:30,722,5
517,"",CR10 4385 4887 1872 2088 3,826.00,OnlineBanking,2023-01-18 00:00:00+05:30,2022-10-16 00:00:00+05:30,382,4
518,"",FR56 1770 9891 441V 1A1G 9MT4 K37,524.00,CreditCard,2023-01-26 00:00:00+05:30,2023-01-30 00:00:00+05:30,386,1
519,"",FR49 5447 9484 10ZR RUNX ZKPK H56,254.00,OnlineBanking,2022-07-10 00:00:00+05:30,2022-05-20 00:00:00+05:30,151,1
520,"",ES20 7793 9340 5426 1737 4542,183.00,OnlineBanking,2023-01-16 00:00:00+05:30,2022-09-08 00:00:00+05:30,519,3
521,"",FR37 9124 4205 01DO ADM9 NVWA M19,746.00,OnlineBanking,2022-09-05 00:00:00+05:30,2023-01-14 00:00:00+05:30,836,5
522,"",AE77 3258 8664 2787 2465 520,967.00,DebitCard,2023-02-22 00:00:00+05:30,2022-10-06 00:00:00+05:30,550,2
523,"",EE23 6063 8363 2155 6499,927.00,OnlineBanking,2022-06-27 00:00:00+05:30,2022-10-08 00:00:00+05:30,460,3
524,"",FR78 8378 3510 7548 EK5Q TSMW W32,823.00,DebitCard,2022-04-19 00:00:00+05:30,2022-10-04 00:00:00+05:30,837,1
525,"",BR91 1124 9348 4130 0189 9616 851J M,842.00,OnlineBanking,2022-11-28 00:00:00+05:30,2022-07-09 00:00:00+05:30,681,1
526,"",SK49 1524 6303 5171 3290 6675,92.00,UPI,2022-11-20 00:00:00+05:30,2022-08-25 00:00:00+05:30,555,4
527,"",DO26 FQIH 1227 6253 0064 9624 6024,790.00,DebitCard,2022-03-28 00:00:00+05:30,2022-05-17 00:00:00+05:30,943,2
528,"",BE15 3665 7418 0437,307.00,UPI,2022-06-10 00:00:00+05:30,2022-08-07 00:00:00+05:30,731,1
529,"",FR86 6317 4311 06IO U8UB 0SD4 A26,305.00,OnlineBanking,2022-07-02 00:00:00+05:30,2022-09-15 00:00:00+05:30,802,5
530,"",FR38 9470 4856 17TH ZYQM XB9L G00,497.00,OnlineBanking,2023-02-26 00:00:00+05:30,2022-11-20 00:00:00+05:30,411,4
531,"",GT22 RXMT SHM2 IJPK 7K7R BBFZ FBOF,176.00,OnlineBanking,2023-02-23 00:00:00+05:30,2022-08-25 00:00:00+05:30,184,4
532,"",BA22 2842 0601 1234 4642,875.00,DebitCard,2022-10-01 00:00:00+05:30,2022-08-25 00:00:00+05:30,547,3
533,"",VG69 BSXF 1223 5408 2707 5858,100.00,OnlineBanking,2022-11-02 00:00:00+05:30,2023-01-01 00:00:00+05:30,57,2
534,"",RO63 UVJU 3PCH PKYJ LEJQ Q47V,743.00,OnlineBanking,2022-06-06 00:00:00+05:30,2022-03-26 00:00:00+05:30,477,1
535,"",IT09 R184 5983 8121 XA6H VROV Y3Q,891.00,OnlineBanking,2023-02-08 00:00:00+05:30,2022-05-27 00:00:00+05:30,256,1
536,"",SI10 1010 0416 8923 956,9.00,UPI,2022-05-10 00:00:00+05:30,2022-04-24 00:00:00+05:30,610,1
537,"",SK44 3490 4193 8569 4322 0824,740.00,OnlineBanking,2023-01-20 00:00:00+05:30,2022-09-19 00:00:00+05:30,661,1
538,"",PT18 1023 0825 6579 3677 7662 2,675.00,UPI,2022-12-16 00:00:00+05:30,2022-10-06 00:00:00+05:30,460,2
539,"",AT48 7016 1533 4706 5545,122.00,OnlineBanking,2022-11-28 00:00:00+05:30,2022-12-17 00:00:00+05:30,155,3
540,"",AE36 6922 8377 2822 8049 731,172.00,OnlineBanking,2022-08-21 00:00:00+05:30,2023-01-09 00:00:00+05:30,366,4
541,"",FR71 5954 2344 74F9 X40I MXSG 493,456.00,OnlineBanking,2022-11-11 00:00:00+05:30,2022-06-03 00:00:00+05:30,760,4
542,"",CZ51 3112 1569 2593 8745 8986,666.00,OnlineBanking,2022-07-14 00:00:00+05:30,2022-08-12 00:00:00+05:30,274,2
543,"",MU92 TDGA 4531 6605 2539 4886 726Y RW,455.00,DebitCard,2022-10-03 00:00:00+05:30,2022-12-16 00:00:00+05:30,75,3
544,"",FR77 3984 1203 02AZ MGO6 CFTN S10,58.00,OnlineBanking,2022-09-08 00:00:00+05:30,2023-03-06 00:00:00+05:30,873,4
545,"",IS10 1009 6711 8787 0830 6312 99,890.00,OnlineBanking,2022-04-14 00:00:00+05:30,2022-06-03 00:00:00+05:30,48,2
546,"",KZ14 199X NKOC FE7G QJBE,723.00,DebitCard,2022-07-16 00:00:00+05:30,2022-03-09 00:00:00+05:30,978,5
547,"",FR98 6779 8069 21OC UMOD LGSE V90,618.00,CreditCard,2022-10-02 00:00:00+05:30,2023-02-11 00:00:00+05:30,904,5
548,"",MC18 3934 5760 34EP MS7Q D9MW S96,947.00,DebitCard,2022-03-20 00:00:00+05:30,2022-04-26 00:00:00+05:30,272,2
549,"",AL09 8321 1413 QMAE BEXM J93B KHOG,968.00,OnlineBanking,2022-06-17 00:00:00+05:30,2022-11-02 00:00:00+05:30,129,3
550,"",IE76 ZYMF 9140 5734 1549 34,94.00,CreditCard,2022-10-07 00:00:00+05:30,2022-10-07 00:00:00+05:30,272,1
551,"",FR94 4049 4728 97BX 2GMD YIIR F11,361.00,DebitCard,2022-11-23 00:00:00+05:30,2022-07-11 00:00:00+05:30,703,2
552,"",MU51 ICUB 4978 3409 7250 8871 158D TE,732.00,UPI,2022-07-21 00:00:00+05:30,2023-02-09 00:00:00+05:30,972,5
553,"",GL13 7647 1379 6906 01,159.00,OnlineBanking,2022-04-19 00:00:00+05:30,2023-03-08 00:00:00+05:30,554,1
554,"",RO52 NLMA NHQP PVRG 58IC 8MJP,616.00,OnlineBanking,2022-12-14 00:00:00+05:30,2023-03-04 00:00:00+05:30,307,1
555,"",LT64 7418 1129 4183 3734,526.00,DebitCard,2022-07-27 00:00:00+05:30,2023-02-07 00:00:00+05:30,729,1
556,"",ES86 2145 7385 2176 5332 3466,881.00,OnlineBanking,2022-08-24 00:00:00+05:30,2022-03-10 00:00:00+05:30,518,1
557,"",AE62 8751 1820 2728 2365 561,227.00,OnlineBanking,2022-12-08 00:00:00+05:30,2022-06-16 00:00:00+05:30,785,3
558,"",DO03 MKUM 5166 5784 3126 6705 5031,138.00,UPI,2023-02-02 00:00:00+05:30,2022-08-24 00:00:00+05:30,405,5
559,"",FR86 7882 0718 08UL MJ3S TCYZ R11,391.00,DebitCard,2022-07-13 00:00:00+05:30,2023-01-01 00:00:00+05:30,855,1
